Mods count: 245
 
                                     jar name                                       | notes |             mod id             |                      mod name                       |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
bic_clipboard-1.2.0.jar                                                             |       | bic_clipboard                  | BiC Clipboard                                       | 1.2.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 3febe05a3d05295a8e7933b0910faf2279bd9b87 | 1260411534     
bocchium-1.20.1-0.0.3.jar                                                           |       | bocchium                       | Bocchium                                            | 1.20.1-0.0.3                 | bocchium.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 4c74bafb892028c3ec006bd694836e42695b77a0 | 1516610249     
botarium-forge-1.20.1-2.3.4.jar                                                     |       | botarium                       | Botarium                                            | 2.3.4                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | a6928cb03b7c5f81900d3d3c8e8c8f6a89a51a5b | 752547332      
Bountiful-6.0.4+1.20.1-forge.jar                                                    |       | bountiful                      | Bountiful                                           | 6.0.4+1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 3627112f17aeef9018d98883a2469e7f90afc3c4 | 3861227374     
buildinggadgets2-1.0.8.jar                                                          |       | buildinggadgets2               | Building Gadgets 2                                  | 1.0.8                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | d06a806e8ca84a9e96a69c32da4b43226a51e0c9 | 71960834       
CapeJS-1.0.0-1.20.1-forge.jar                                                       |       | capejs                         | CapeJS                                              | 1.0.0-1.20.1                 | capejs-common.mixins.json, capejs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                | 584ff1b8cec33f0382a0482760a1a12cb5120a62 | 1421430900     
CBMultipart-1.20.1-3.3.0.146-universal.jar                                          |       | cb_multipart                   | CBMultipart                                         | 3.3.0.146                    | mixins.cbmultipart.json, mixins.cbmultipart.refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                      | 7eb4d3f7b9dc4b65cffd848f2949eb5d468dfc32 | 442261355      
cc-tweaked-1.20.1-forge-1.119.0.jar                                                 |       | computercraft                  | CC: Tweaked                                         | 1.119.0                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | ff4d5b6504cc2a164191363da248dcdd508477b6 | 2838481075     
    /META-INF/jarjar/cobalt-0.9.9.jar                                               |       |                                |                                                     |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/jzlib-1.1.3.jar                                                |       |                                |                                                     |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
ChatCalculator-Forge-1.6.0.jar                                                      |       | chatcalculator                 | ChatCalculator                                      | 1.6.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 54bce5385849d8c761b56ad100584193fcf559d9 | 2011458252     
chipped-forge-1.20.1-3.0.7.jar                                                      |       | chipped                        | Chipped                                             | 3.0.7                        | chipped-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 25ee2a0846059d8f21d28b94b7e0229b60cb5499 | 3175573632     
ChippedExpress-universal-20x.jar                                                    |       | chipped_express                | ChippedExpress                                      | 1.3.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 47fd0dc3aff5b5069e657629646541c688383bc0 | 1286999688     
chisel_chipped_integration-v1.1.6-1.20.1.jar                                        |       | chisel_chipped_integration     | Chisel                                              | 1.1.4-1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | d8f3a48f768585a3f2b513f037929ac1e9f37b94 | 1236398324     
chisels-and-bits-forge-20.1.19.jar                                                  |       | chiselsandbits                 | chisels-and-bits                                    | 20.1.19                      | chisels-and-bits.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | fe004664473d8bf1f236c5d6fe4830d623a045b6 | 1161336211     
    /META-INF/jarjar/lz4-pure-java-1.8.0.jar                                        |       |                                |                                                     |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/saecularia-caudices-core-1.0.23.jar                            |       |                                |                                                     |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/saecularia-caudices-forge-1.0.23.jar                           |       |                                |                                                     |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/scena-core-1.0.103.jar                                         |       |                                |                                                     |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/scena-forge-1.0.103.jar                                        |       | scena                          | Scena                                               | 1.0.103                      | scena.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
        /META-INF/jarjar/saecularia-caudices-core-1.0.23.jar                        |       |                                |                                                     |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jarjar/saecularia-caudices-forge-1.0.23.jar                       |       |                                |                                                     |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
chloride-FORGE-mc1.20.1-v1.7.5.jar                                                  |       | chloride                       | Chloride                                            | 1.7.5                        | chloride.mixin.json, chloride.mixin-refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                              | b5f658b9328cda4b03080fa0164cf26be23a3e75 | 3360926960     
citresewn-1.20.1-5.jar                                                              |       | citresewn                      | CIT Resewn                                          | 1.20.1-5                     | citresewn.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 496393d1fc170bafccd6016cd5d93ab52b4a101c | 3126551083     
clienttweaks-forge-1.20.1-11.1.6.jar                                                |       | clienttweaks                   | Client Tweaks                                       | 11.1.6                       | clienttweaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 7e65ea212c78629170ab97c7159cee1cf2ca89b0 | 76870097       
climbladdersfast-4.0-1.20.1-forge.jar                                               |       | climbladdersfast               | Climb Ladders Fast                                  | 4.0-1.20.1                   | climbladdersfast-common.mixins.json, climbladdersfast.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                            | 47c03c101c3e4385813bc03533a49aa2b579315c | 2405526113     
cloth-config-11.1.136-forge.jar                                                     |       | cloth_config                   | Cloth Config v10 API                                | 11.1.136                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c65d07748acc57ceb45d53b3964368b84f34d54f | 635589968      
Clumps-forge-1.20.1-12.0.0.4.jar                                                    |       | clumps                         | Clumps                                              | 12.0.0.4                     | clumps.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 97cc669f68dbe812cb77cc3631339334fc28b877 | 1243520454     
CodeChickenLib-1.20.1-4.4.0.516-universal.jar                                       |       | codechickenlib                 | CodeChicken Lib                                     | 4.4.0.516                    | mixins.codechickenlib.refmap.json, mixins.codechickenlib.json                                                                                                                                                                                                                                                                                                                                                                                                                                | f9b90ff58442b5967366fd90d24980a34540518d | 1091903728     
cofh_core-1.20.1-11.0.2.56.jar                                                      |       | cofh_core                      | CoFH Core                                           | 11.0.2                       | mixins.cofhcore.json, mixins.cofhcore.refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | 6f7c0056fece31bf393df450d79482810ed444af | 3041669468     
collective-1.20.1-8.13.jar                                                          |       | collective                     | Collective                                          | 8.13                         | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                              | 74b917dd99cd97b2f0480628a1b56958f5e0f5ad | 1813952632     
computerized_vehicles-0.2.3.jar                                                     |       | computerized_vehicles          | Computerized Vehicles                               | 0.2.3                        | mixins.computerized_vehicles.refmap.json, mixins.computerized_vehicles.json                                                                                                                                                                                                                                                                                                                                                                                                                  | 025ad08c26b853ce30c3aa3c6a56d45b4003b027 | 2240597012     
configuration-forge-1.20.1-3.1.0.jar                                                |       | configuration                  | Configuration                                       | 3.1.0                        | configuration.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 8757a9f1d47f48463765d1d202cdadc41c84f6b0 | 3130708032     
configured-forge-1.20.1-2.2.3.jar                                                   |       | configured                     | Configured                                          | 2.2.3                        | configured.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 065c2d287a52f52fc8d33d780192325ee6f4b6ae | 3251861014     
connectivity-1.20.1-7.6.jar                                                         |       | connectivity                   | Connectivity Mod                                    | 1.20.1-7.6                   | connectivity.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | ae69a0712c73411a2d804eec7abce271529e273d | 2626029621     
constructionwand-1.20.1-2.11.jar                                                    |       | constructionwand               | Construction Wand                                   | 1.20.1-2.11                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 80bd5223cd8984dc1038cb9f2d1cb6b97f31998a | 1817683668     
