Mods count: 167
 
                                     jar name                                       |    notes     |             mod id             |                    mod name                     |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
carryon-forge-1.20.1-2.1.2.7.jar                                                    |              | carryon                        | Carry On                                        | 2.1.2.7                      | carryon.mixins.json, carryon.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                               | 9999714ca3dd2f2401f0396ca44f3b27c3784c4f | 1899432453     
cc-tweaked-1.20.1-forge-1.119.0.jar                                                 |              | computercraft                  | CC: Tweaked                                     | 1.119.0                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | ff4d5b6504cc2a164191363da248dcdd508477b6 | 2838481075     
    /META-INF/jarjar/cobalt-0.9.9.jar                                               |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/jzlib-1.1.3.jar                                                |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
chat_heads-0.15.1-forge-1.20.jar                                                    |              | chat_heads                     | Chat Heads                                      | 0.15.1                       | chat_heads.forge.mixins.json, chat_heads.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                         | 6eebd1479d11d3ed8fbb18b866ba43b470743e00 | 1886210089     
chatplus-forge-2.8.1.jar                                                            |              | chatplus                       | ChatPlus                                        | 2.8.1                        | chatplus-common.mixins.json, chatplus.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | 3c08f233d5796544cf25fdaa754a5774220ff5bf | 3667697148     
    /META-INF/jars/vosk-0.3.45.jar                                                  |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
Chunky-1.3.146.jar                                                                  |              | chunky                         | Chunky                                          | 1.3.146                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 0b782d12b4ac3b03a94c28f32e9b2d5587d1dd50 | 4160167965     
clienttweaks-forge-1.20.1-11.1.6.jar                                                |              | clienttweaks                   | Client Tweaks                                   | 11.1.6                       | clienttweaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 7e65ea212c78629170ab97c7159cee1cf2ca89b0 | 76870097       
cloth-config-11.1.136-forge.jar                                                     |              | cloth_config                   | Cloth Config v10 API                            | 11.1.136                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c65d07748acc57ceb45d53b3964368b84f34d54f | 635589968      
Clumps-forge-1.20.1-12.0.0.4.jar                                                    |              | clumps                         | Clumps                                          | 12.0.0.4                     | clumps.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 97cc669f68dbe812cb77cc3631339334fc28b877 | 1243520454     
CodeChickenLib-1.20.1-4.4.0.516-universal.jar                                       |              | codechickenlib                 | CodeChicken Lib                                 | 4.4.0.516                    | mixins.codechickenlib.refmap.json, mixins.codechickenlib.json                                                                                                                                                                                                                                                                                                                                                                                                                                | f9b90ff58442b5967366fd90d24980a34540518d | 1091903728     
